outcome, value, roll1, roll2, roll3, roll4, roll5, roll6
farkle, 0, 0.6667, 0.4444, 0.2778, 0.1575, 0.0769, 0.0238
one5, 50, 0.1667, 0.3056, 0.4213, 0.5177, 0.5981, 0.6651
one1, 100, 0.1667, 0.3056, 0.4213, 0.5177, 0.5981, 0.6651
three1s, 200, 0, 0, 0.0278, 0.0926, 0.1930, 0.3086
three2s, 300, 0, 0, 0.0278, 0.0926, 0.1930, 0.3086
three4s, 400, 0, 0, 0.0278, 0.0926, 0.1930, 0.3086
three5s, 500, 0, 0, 0.0278, 0.0926, 0.1930, 0.3086
three6s, 600, 0, 0, 0.0278, 0.0926, 0.1930, 0.3086
four_anynum, 1000, 0, 0, 0, 0.0046, 0.0193, 0.0482
five_anynum, 2000, 0, 0, 0, 0, 0.0007, 0.0039
six_anynum, 3000, 0, 0, 0, 0, 0, 0.0001
1-6_straight, 1500, 0, 0, 0, 0, 0, 0.0154
threepairs, 1500, 0, 0, 0, 0, 0, 0.0386
two_trips, 2500, 0, 0, 0, 0, 0, 0.0064
